Number,Character,Pinyin,English,Components,Compounds,Words,Memory,Stroke Count
1,一,yī,one,,,,,1
2,丨,gǔn,line,,,,,1
3,丶,zhǔ,dot,,,,,1
4,丿,piě,slash,,,,,1
5,乀,piě,slash,,,,,1
6,⺄,piě,slash,,,,,1
7,乙,yǐ,second,,,,,1
8,乚,yǐ,second,,,,,1
9,乛,yǐ,second,,,,,1
10,亅,jué,hook,,,,,1
11,㇒,,stroke,,,,,1
12,二,èr,two,"1, 1",,,One stacked on One is Two! (4th tone),2
13,亠,tóu,lid,"1, 3",,,,2
14,⺊,bo,"prophesy, fortune telling","1, 2",,,,2
15,人,rén,man,"15, 15",,,,2
16,亻,rén,man,"2, 15",,,,2
17,儿,ér,"son, legs","4, 7",,,,2
18,入,rù,enter,14,,,,2
19,八,bā,eight,"15, 15",,,,2
20,丷,bā,eight,19,,,,2
21,㇆,,stroke,,,,,2
22,冂,jiōng,wide,"2, 21",,,,2
23,冖,mì,cloth cover,22,,,,2
24,冫,bīng,ice,"3, 15",,,,2
25,几,jī,table,"4, 7",,,,2
26,凵,kǎn,receptacle,,,,,2
27,刀,dāo,knife,"4, 21",,,,2
28,刂,dāo,knife,"2, 10",,,,2
29,⺈,dāo,knife,,,,,2
30,力,lì,power,"4, 21",,,,2
31,勹,bāo,wrap,"11, 21",,,,2
32,匕,bǐ,spoon,"8, 11",,,,2
33,匚,fāng,box,,,,,2
